"Naam gemeente, naam oude gemeente (van voor de fusie), van het district
een asterisk (*) achter de naam van een oude gemeente betekent dat het slechts gaat om een deel van de oude gemeente";NIS-code;Lettercode voor de oude gemeente
BEYNE-HEUSAY;62015;A   
BIENNE-LEZ-HAPPART;56044;C   
BIERBEEK;24011;    
BIERBEEK;24011;A   
BIERCEE;56078;H   
BIERGES;25112;B   
BIERGHES;25123;B   
BIERSET* + PARTIE DE AWANS;62118;F   
BIERWART;92138;B   
BIESME;92087;J   
BIESMEREE;92087;F   
BIESME-SOUS-THUIN;56078;C   
BIEVRE;91015;    
BIEVRE;91015;A   
BIEZ;25037;C   
BIHAIN + PARTIE DE LIERNEUX;82032;C   
BIKSCHOTE;33040;B   
BILSTAIN;63046;B   
BILZEN;73006;    
BILZEN;73006;A   
BINCHE;56011;    
BINCHE;56011;A   
BINDERVELD;71045;B   
BINKOM;24066;B   
BIOUL;91005;D   
BISSEGEM;34022;C   
BLAASVELD;12040;C   
BLAIMONT;91142;D   
BLANDAIN - HERTAIN;57081;R   
BLANDEN*;24086;C   
BLANKENBERGE;31004;    
BLANKENBERGE;31004;A   
BLAREGNIES;53084;G   
BLATON;51009;C   
BLAUGIES;53020;B   
BLEGNY;62119;    
BLEHARIES;57093;A   
BLEHEN;64034;G   
BLEID*;85045;F   
BLERET;64074;D   
BLICQUY;57094;E   
BOCHOLT;72003;    
BOCHOLT;72003;A   
BOECHOUT;11004;    
BOECHOUT;11004;A   
BOEKHOUT;71017;G   
BOEKHOUTE;43002;D   
BOELHE + PARTIE DE TROGNEE;64029;B   
BOEZINGE;33011;D   
BOGAARDEN;23064;E   
BOHAN;91143;D   
BOIGNEE*+ PARTIE DE KEUMIEE ET DE VELAINE;92114;C   
BOIRS;62011;C   
BOIS - ET - BORSU;61012;C   
BOIS-DE-LESSINES;55023;C   
BOIS-DE-VILLERS + PARTIE DE FLOREFFE;92101;F   
BOIS-D'HAINE;52043;B   
BOLINNE;92035;F   
BOLLAND;63035;G   
BOMAL;25122;E   
BOMAL;83012;H   
BOMBAYE*;62027;C   
BOMMERSHOVEN+ DEEL VAN KOLMONT;73009;F   
BONCELLES;62096;D   
BONEFFE;92035;H   
BONHEIDEN;12005;    
BONHEIDEN;12005;A   
BONINNE - GELBRESSEE;92094;P   
BONLEZ;25018;E   
BONNERT;81001;D   
BONNEVILLE;92003;C   
BON-SECOURS;57064;K   
BONSIN;91120;J   
BOOISCHOT;12014;E   
BOOITSHOEKE;38025;B   
BOOM;11005;    
BOOM;11005;A   
BOORSEM;73107;G   
BOORTMEERBEEK;24014;    
BOORTMEERBEEK;24014;A   
BORCHTLOMBEEK*;23097;B   
BORGERHOUT;11002;S   
BORGLOON;73009;    
BORGLOON;73009;A   
