"Naam gemeente, naam oude gemeente (van voor de fusie), van het district
een asterisk (*) achter de naam van een oude gemeente betekent dat het slechts gaat om een deel van de oude gemeente";NIS-code;Lettercode voor de oude gemeente
MEEFFE;64075;C   
MEENSEL;24135;B   
MEER;13014;C   
MEERBEEK;24055;C   
MEERBEKE;41048;C   
MEERDONK;46020;C   
MEERHOUT;13021;    
MEERHOUT;13021;A   
MEERLE;13014;D   
MEESWIJK;73107;F   
MEETKERKE;31042;B   
MEEUWEN;72040;A   
MEEUWEN-GRUITRODE;72040;    
MEHAIGNE;92035;D   
MEIGEM;44011;J   
MEILEGEM;45065;D   
MEISE;23050;    
MEISE + DEEL VAN BRUSSEGEM;23050;A   
MEIX-DEVANT-VIRTON;85024;    
MEIX-DEVANT-VIRTON;85024;A   
MEIX-LE-TIGE;85034;C   
MELDEN*+DEEL WORTEGEM-PETEGEM;45035;E   
MELDERT;41002;G   
MELDERT;71037;C   
MELEN;62099;D   
MELIN;25048;F   
MELLE;44040;    
MELLE;44040;A   
MELLERY & PARTIE DE GENTINNES;25107;C   
MELLES - QUARTES;57081;E   
MELLET;52075;A   
MELLIER;84033;D   
MELSBROEK;23081;B   
MELSELE;46003;G   
MELSEN*+DEEL VAN DE PINTE EN VURSTE;44043;E   
MEMBACH;63004;B   
MEMBRUGGEN;73066;K   
MENEN;34027;    
MENEN;34027;A   
MERBES-LE-CHATEAU;56049;    
MERBES-LE-CHATEAU;56049;A   
MERBES-SAINTE-MARIE;56049;B   
MERCHTEM;23052;    
MERCHTEM;23052;A   
MERDORP;64034;R   
MERE;41082;A   
MERELBEKE;44043;    
MERELBEKE*+DEEL ZWIJNAARDE;44043;A   
MERENDREE;44049;D   
MERKEM;32006;B   
MERKSEM;11002;Q   
MERKSPLAS;13023;    
MERKSPLAS + DEEL RIJKEVORSEL;13023;A   
MERLEMONT;93056;H   
MESEN;33016;    
MESEN;33016;A   
MESLIN - L'EVEQUE;51004;E   
MESNIL-EGLISE;91072;C   
MESNIL-SAINT-BLAISE;91072;E   
MESPELARE;42006;G   
MESSANCY;81015;    
MESSANCY*;81015;A   
MESSELBROEK;24134;C   
MESVIN;53053;R   
METTEKOVEN;73022;F   
METTET;92087;    
METTET*;92087;A   
MEULEBEKE;37007;    
MEULEBEKE;37007;A   
MEUX;92141;E   
MEVERGNIES-LEZ-LENS;51012;D   
MEYERODE (GEBIETSTEIL);63067;B   
MEYERODE*;63001;C   
MICHELBEKE + DEEL SINT-MARIA-OUDENHOVE;45059;E   
MICHEROUX;62099;C   
MIDDELBURG;43010;B   
MIDDELKERKE;35011;    
MIDDELKERKE;35011;A   
MIECRET;91064;H   
MIELEN-BOVEN-AALST;71017;F   
MIGNAULT;55035;B   
MILLEN;73066;H   
MILMORT;62051;D   
MINDERHOUT;13014;B   
MIRWART;84059;F   
MODAVE;61041;    
MODAVE;61041;A   
MOELINGEN;73109;F   
MOEN;34042;D   
MOERBEKE;41018;R   
MOERBEKE;44045;    
MOERBEKE;44045;A   
MOERE;35005;B   
MOERKERKE;31006;E   
MOERZEKE;42008;B   
MOHA;61072;C   
MOHIVILLE;91059;C   
MOIGNELEE;92137;E   
MOIRCY;84077;G   
MOL;13025;    
MOL;13025;A   
MOLENBAIX;57018;B   
MOLENBEEK - WERSBEEK;24008;C   
MOLENBEEK-SAINT-JEAN;21012;    
MOLENBEEK-SAINT-JEAN;21012;A   
MOLENBEERSEL;72018;B   
MOLENSTEDE;24020;D   
MOLLEM;23002;B   
MOMALLE*;64063;E   
MOMIGNIES;56051;    
MOMIGNIES;56051;A   
MONCEAU-EN-ARDENNE;91015;E   
MONCEAU-IMBRECHIES;56051;C   
MONCEAU-SUR-SAMBRE;52011;K   
MONS;53053;    
MONS;53053;A   
MONS-LEZ-LIEGE (PARTIE);62118;C   
MONSTREUX;25072;D   
MONT;82014;F   
MONTBLIART;56088;E   
MONT-DE-L'ENCLUS;57095;    
MONTEGNEE;62093;C   
MONTENAKEN;71017;J   
MONT-GAUTHIER;91114;K   
MONTIGNIES-LEZ-LENS;53046;C   
MONTIGNIES-SAINT-CHRISTOPHE;56022;D   
MONTIGNIES-SUR-ROC+ PARTIES AUDREGNIES ET WIHERIES;53083;F   
MONTIGNIES-SUR-SAMBRE;52011;E   
MONTIGNY-LE-TILLEUL;52048;    
MONTIGNY-LE-TILLEUL;52048;A   
MONTLEBAN;82037;E   
MONTROEUL-AU-BOIS;51065;G   
MONTROEUL-SUR-HAINE;53039;B   
MONT-SAINT-ANDRE;25122;D   
MONT-SAINTE-ALDEGONDE;56087;C   
MONT-SAINTE-GENEVIEVE;56044;D   
MONT-SAINT-GUIBERT;25068;    
MONT-SAINT-GUIBERT;25068;A   
MONT-SUR-MARCHIENNE;52011;H   
MONTZEN;63088;C   
MOORSEL;41002;E   
MOORSELE;34041;C   
MOORSLEDE;36012;    
MOORSLEDE;36012;A   
MOORTSELE;44052;D   
MOPERTINGEN;73006;G   
MOREGEM + OOIKE*;45061;C   
MORESNET;63088;B   
MORHET;82036;C   
MORIALME + PARTIE D'ORET;93022;H   
MORKHOVEN;13011;C   
MORLANWELZ;56087;    
MORLANWELZ-MARIEMONT;56087;A   
MORMONT;83013;D   
MORNIMONT;92140;G   
MORTIER + PARTIE DE ST.-ANDRE;62119;B   
MORTROUX;62027;G   
MORTSEL;11029;    
MORTSEL;11029;A   
MORVILLE;93022;D   
MOULBAIX;51004;M   
MOUSCRON;54007;    
MOUSCRON;54007;A   
MOUSTIER;51065;D   
MOUSTIER;92140;F   
MOXHE;64034;N   
MOZET;92054;C   
MUIZEN;12025;F   
MUIZEN;71017;C   
MULLEM;45035;F   
MUNKZWALM;45065;A   
MUNO;85011;G   
MUNSTERBILZEN;73006;C   
MUNTE;44043;C   
MUSSON;85026;    
MUSSON;85026;A   
MUSSY-LA-VILLE+PARTIE DE BLEID;85026;B   
MY;61019;C   
NAAST;55040;B   
NADRIN;82014;C   
NAFRAITURE;91143;F   
NALINNES;56086;B   
NAMECHE;92003;F   
NAMUR;92094;    
NAMUR;92094;A   
NANDRIN;61043;    
NANDRIN;61043;A   
NANINNE;92094;W   
NAOME;91015;C   
NASSOGNE;83040;    
NASSOGNE;83040;A   
NATOYE;91059;F   
NAZARETH;44048;    
NAZARETH;44048;A   
NECHIN;57027;F   
NEDERBOELARE;41018;B   
NEDERBRAKEL;45059;A   
NEDERHASSELT;41048;L   
NEDEROKKERZEEL;23038;C   
NEDERZWALM-HERMELGEM* + DEEL OUDENAARDE EN ZINGEM;45065;M   
NEERGLABBEEK;72040;E   
NEERHAREN;73042;C   
NEERHEYLISSEM;25118;A   
NEERIJSE;24045;C   
NEEROETEREN;72021;B   
NEERPELT;72025;    
NEERPELT;72025;A   
NEERREPEN;73083;C   
NEERWINDEN;24059;D   
NEERWINDEN-ELIKSEM;24059;F   
NEERWINDEN-EZEMAAL;24059;G   
NEERWINDEN-LAAR;24059;H   
NEERWINDEN-OVERWINDEN;24059;J   
NEERWINDEN-WANGE;24059;E   
NEIGEM;41048;D   
NEREM;73083;J   
NESSONVAUX;62122;C   
NETHEN;25037;E   
NETTINNE;91120;G   
NEU MORESNET;63040;B   
NEUFCHATEAU;62027;F   
NEUFCHATEAU;84043;    
NEUFCHATEAU;84043;A   
NEUFMAISON;53070;G   
NEUFVILLES;55040;E   
NEUPRE;62121;    
NEUVILLE;93056;R   
NEUVILLE-EN-CONDROZ;62121;A   
NEVELE;44049;    
NEVELE;44049;A   
NIEL;11030;    
NIEL;11030;A   
NIEL-BIJ-AS;71002;B   
NIEL-BIJ-SINT-TRUIDEN;71017;B   
NIEUWENHOVE;41018;N   
NIEUWENKERKEN-WAAS;46021;B   
NIEUWENRODE;23039;B   
NIEUWERKERKEN;41002;J   
NIEUWERKERKEN;71045;    
NIEUWERKERKEN;71045;A   
NIEUWKAPELLE;32003;G   
NIEUWKERKE;33039;D   
NIEUWMUNSTER*;31042;D   
NIEUWPOORT;38016;    
NIEUWPOORT+DEEL WESTENDE;38016;A   
NIEUWRODE;24043;C   
NIJLEN;12026;    
NIJLEN;12026;A   
NIL-SAINT-VINCENT-SAINT-MARTIN;25124;B   
NIMY;53053;E   
NINOVE;41048;    
NINOVE*;41048;A   
NISMES;93090;G   
NIVELLES;25072;    
NIVELLES;25072;A   
NIVERLEE;93018;C   
NIVES;82036;B   
NOBRESSART;81003;D   
NODEBAIS;25005;D   
NODUWEZ;25120;G   
NOIRCHAIN;53028;B   
NOIREFONTAINE;84010;D   
NOISEUX*;91120;B   
NOKERE;45017;D   
NOLLEVAUX;84050;F   
NOORDERWIJK;13011;B   
NOORDSCHOTE;32030;D   
NOSSEGEM;23094;B   
NOTHOMB;81003;E   
NOUVELLES;53053;N   
NOVILLE;82003;D   
NOVILLE-LES-BOIS;92138;E   
NOVILLE-SUR-MEHAIGNE;92035;E   
NUKERKE*+DEEL VAN KLUISBERGEN;45064;B   
OBAIX;52055;B   
OBIGIES;57062;D   
OBOURG;53053;F   
OCHAMPS;84035;D   
OCQUIER;61012;B   
ODEIGNE;83055;E   
OEDELEM;31003;B   
OEKENE;36015;B   
OELEGEM;11035;B   
OESELGEM;37002;C   
OETINGEN;23024;C   
OEUDEGHIEN;51065;B   
OEVEL*;13049;D   
OFFAGNE*;84050;D   
OGY;55023;F   
OHAIN*;25119;D   
OHEY;92097;    
OHEY;92097;A   
OIGNIES-EN-THIERACHE;93090;F   
OISQUERCQ & PARTIE DE VIRGINAL-SAMME;25105;B   
OIZY;91015;D   
OKEGEM;41048;B   
OLEN;13029;    
OLEN;13029;A   
OLEYE;64074;B   
OLLIGNIES;55023;D   
OLLOY-SUR-VIROIN;93090;A   
OLMEN;13003;B   
OLNE;63057;    
OLNE;63057;A   
OLSENE;44081;B   
OMAL;64029;E   
OMBRET-RAWSA*;61003;C   
OMEZEE;93056;F   
ON;83034;E   
ONHAYE;91103;    
ONHAYE;91103;A   
ONKERZELE;41018;C   
ONNEZIES;53083;E   
ONOZ;92140;D   
ONZE-LIEVE-VROUW-WAVER*;12035;B   
OOIGEM;37017;B   
OORBEEK + DEEL VAN HOEGAARDEN;24107;B   
OORDEGEM;41034;E   
OOSTAKKER;44021;D   
OOSTDUINKERKE;38014;B   
OOSTEEKLO;43002;B   
OOSTENDE;35013;    
OOSTENDE + OOSTENDE-STENE*;35013;F   
OOSTENDE ZANDVOORDE +OOSTENDE*;35013;C   
OOSTENDE*;35013;A   
OOSTENDE*;35013;B   
OOSTENDE-STENE + OOSTENDE*;35013;D   
OOSTENDE-STENE + OOSTENDE*;35013;E   
OOSTERZELE;44052;    
OOSTERZELE;44052;A   
OOSTHAM;71069;A   
OOSTKAMP;31022;    
OOSTKAMP;31022;A   
OOSTKERKE;32003;K   
OOSTKERKE + HOEKE;31006;C   
OOSTMALLE;11057;B   
OOSTNIEUWKERKE;36019;B   
OOSTROZEBEKE;37010;    
OOSTROZEBEKE;37010;A   
OOSTVLETEREN;33041;A   
OOSTWINKEL;44080;C   
OPBRAKEL;45059;B   
OPGLABBEEK;71047;    
OPGLABBEEK;71047;A   
OPGRIMBIE;73107;B   
OPHAIN-BOIS-SEIGNEUR-ISAAC;25014;C   
OPHASSELT;41018;H   
OPHEERS;73022;C   
OPHEYLISSEM;25118;B   
OPHOVEN;72018;D   
OPITTER;72004;C   
OPLINTER;24107;G   
OPOETEREN;72021;C   
OPONT;84050;B   
OPPREBAIS;25043;C   
OPPUURS;12034;B   
OPWIJK;23060;    
OPWIJK;23060;A   
ORBAIS;25084;C   
ORCHIMONT + PARTIE DE LOUETTE-SAINT-DENIS;91143;E   
ORCQ - MARQUAIN - LAMAIN;57081;P   
ORDINGEN;71053;H   
ORET*;92087;H   
OREYE;64056;    
OREYE;64056;A   
ORGEO;84009;C   
ORMEIGNIES;51004;L   
ORP-JAUCHE;25120;    
ORP-LE-GRAND;25120;A   
ORROIR;57095;D   
ORSMAAL-GUSSENHOVEN;24133;C   
ORSMAAL-MELKWEZER;24133;D   
ORSMAAL-NEERHESPEN;24133;E   
ORSMAAL-OVERHESPEN;24133;F   
ORSMAAL-WOMMERSOM;24133;G   
ORTHO;83031;C   
OSTICHES;51004;V   
OTEGEM;34042;B   
OTEPPE;61010;D   
OTHEE;62006;E   
OTTENBURG;24045;E   
OTTERGEM;41082;F   
OTTIGNIES;25121;A   
OTTIGNIES-LOUVAIN-LA-NEUVE;25121;    
OUDEGEM;42006;F   
OUDEKAPELLE;32003;H   
OUDENAARDE;45035;    
OUDENAARDE*+DEEL OOIKE;45035;A   
OUDENAKEN;23077;B   
OUDENBURG;35014;    
OUDENBURG;35014;A   
OUDERGEM;21002;    
OUDERGEM;21002;A   
OUD-HEVERLEE;24086;    
OUD-HEVERLEE;24086;A   
OUD-TURNHOUT;13031;    
OUD-TURNHOUT*;13031;A   
OUFFET;61048;    
OUFFET;61048;A   
OUGREE*;62096;C   
OUPEYE;62079;    
OUPEYE*+PARTIE DE CHERATTE, HERSTAL ET WANDRE;62079;A   
OUTER;41048;M   
OUTGAARDEN + DEEL VAN GOETSENHOVEN;24041;C   
OUTRELOUXHE + PARTIE DE OMBRET-RAWSA;61041;D   
OUTRIJVE;34003;D   
OUWEGEM;45057;B   
OVERBOELARE;41018;D   
OVERIJSE;23062;    
OVERIJSE;23062;A   
OVERMERE*+DEEL LOKEREN;42003;C   
OVERPELT;72029;    
OVERPELT*;72029;A   
OVERREPEN;73083;R   
PAAL;71004;B   
PAIFVE;62060;H   
PAILHE;61012;E   
PALISEUL;84050;    
PALISEUL;84050;A   
PAPIGNIES;55023;E   
PARIKE;45059;F   
PARTIE ANS;62063;M   
PARTIE DE FAMILLEUREUX;55022;L   
PARTIE DE LIMAL-LE-GRAND;25121;D   
PARTIE DE OUGREE;62063;J   
PARTIE MONS* & PARTIE HORION-HOZEMONT & DE FLEMALLE-HAUTE;62120;D   
PARTIES DE SAINTES;25123;D   
PASSENDALE;33037;B   
PATIGNIES;91054;L   
PATURAGES* + PARTIES DE EUGIES;53082;B   
PAULATEM;45065;B   
PECQ;57062;    
PECQ;57062;A   
PEER;72030;    
PEER;72030;A   
PEISSANT;56085;D   
PELLAINES;64047;B   
PELLENBERG;24066;C   
PEPINGEN;23064;    
PEPINGEN;23064;A   
PEPINSTER;63058;    
PEPINSTER;63058;A   
PERK;23081;C   
PERONNES-LEZ-ANTOING;57003;D   
PERONNES-LEZ-BINCHE;56011;H   
PERUWELZ;57064;    
PERUWELZ;57064;A   
PERVIJZE;32003;M   
PERWEZ;25084;    
PERWEZ;25084;A   
PERWEZ;92097;C   
PESCHE;93014;J   
PESSOUX;91030;B   
PETEGEM-AAN-DE-SCHELDE* + DEEL VAN OUDENAARDE;45061;A   
PETEGEM-LEIE;44011;C   
PETIGNY;93014;B   
PETITE-CHAPELLE;93014;D   
PETIT-ENGHIEN;55010;C   
PETIT-RECHAIN;63079;G   
PETIT-ROEULX-LES-NIVELLES;52063;D   
PETIT-ROEULX-LEZ-BRAINE;55004;E   
PETIT-THIER + PARTIE DE BEHO;82032;B   
PEUTIE;23088;B   
PHILIPPEVILLE;93056;    
PHILIPPEVILLE;93056;A   
PIETON;52010;C   
PIETRAIN;25048;K   
PIETREBAIS & PART DONGELBERG;25043;E   
PIPAIX;57094;H   
PIRINGEN;73083;P   
PIRONCHAMPS;52018;B   
PITTEM;37011;    
PITTEM;37011;A   
PLAINEVAUX+PARTIE DE SERAING;62121;B   
PLANCENOIT;25119;E   
PLOEGSTEERT;54010;E   
PLOMBIERES;63088;    
POEDERLEE;13019;D   
POEKE;44001;D   
POELKAPELLE;33040;C   
POESELE;44049;B   
POLLARE;41048;G   
POLLEUR (PARTIE)+THEUX(PARTIE);63079;D   
POLLEUR*;63076;B   
POLLINKHOVE;32030;B   
POMMEROEUL;51009;B   
PONDROME;91013;R   
PONT - DE - LOUP;52074;C   
PONT-A-CELLES;52055;    
PONT-A-CELLES;52055;A   
PONTILLAS;92138;C   
POPERINGE;33021;    
POPERINGE;33021;A   
POPPEL;13035;C   
POPUELLES;57018;F   
PORCHERESSE;84016;B   
PORCHERESSE;91064;F   
POTTES;57018;C   
POUCET;64034;E   
POULSEUR;62026;B   
POUPEHAN;84010;G   
POUSSET;64063;C   
PRESGAUX;93014;G   
PRESLES;52074;B   
PROFONDEVILLE;92101;    
PROFONDEVILLE;92101;A   
PROVEN;33021;D   
PRY;93088;B   
PULDERBOS;11054;B   
PULLE;11054;C   
PURNODE;91141;F   
PUTTE;12029;    
PUTTE & DEEL O. L. V. WAVER & RIJMENAM;12029;A   
PUURS;12030;    
PUURS;12030;A   
QUAREGNON;53065;    
QUAREGNON;53065;A   
QUENAST;25123;C   
QUEUE-DU-BOIS+PARTIE DE FLERON;62015;B   
QUEVAUCAMPS;51008;C   
QUEVY;53084;    
QUEVY-LE-GRAND;53084;B   
QUEVY-LE-PETIT;53084;A   
QUIEVRAIN;53068;    
QUIEVRAIN;53068;A   
RACHECOURT;81004;D   
RACOUR;64047;C   
RAEREN;63061;    
RAEREN*+ENCLAVE WALHORN + GEBIETSTEIL EUPEN;63061;A   
RAGNIES;56078;F   
RAHIER;63075;C   
RAMEGNIES;51008;F   
RAMEGNIES-CHIN;57081;T   
RAMELOT;61081;B   
RAMILLIES;25122;    
RAMILLIES-OFFUS;25122;A   
RAMSDONK;23039;C   
RAMSEL;13013;B   
RAMSKAPELLE;31043;C   
RAMSKAPELLE;38016;C   
RANCE;56088;D   
RANSART;52011;R   
RANSBERG;24054;B   
RANST;11035;    
RANST;11035;A   
RAVELS;13035;    
RAVELS & DEEL OUD-TURNHOUT;13035;A   
REBAIX;51004;C   
REBECQ;25123;    
REBECQ-ROGNON;25123;A   
RECHT*;63067;F   
RECOGNE;84077;D   
REDU;84035;G   
REET;11037;C   
REKEM;73042;B   
REKKEM;34027;C   
RELEGEM;23002;D   
REMAGNE;84077;H   
REMERSDAAL;73109;D   
REMICOURT;64063;    
REMICOURT;64063;A   
RENDEUX;83044;    
RENDEUX;83044;A   
RENINGE;32030;C   
RENINGELST*;33021;B   
RENLIES;56005;C   
REPPEL;72003;B   
RESSAIX;56011;B   
RESSEGEM;41027;D   
RESTEIGNE*;84068;C   
RETIE;13036;    
RETIE* & DEEL ARENDONK & OUD-TURNHOUT;13036;A   
RETINNE;62038;B   
REULAND;63087;B   
REVES;52075;E   
RHISNES*;92141;B   
RICHELLE;62108;B   
RIEMST;73066;    
RIEMST;73066;A   
RIENNE;91054;E   
RIEZES;56016;G   
RIJKEL;73009;N   
RIJKEVORSEL;13037;    
RIJKEVORSEL*;13037;A   
RIJKHOVEN;73006;M   
RIJMENAM*;12005;B   
RIKSINGEN;73083;D   
RILLAAR;24001;C   
RIVIERE;92101;C   
RIXENSART;25091;    
RIXENSART;25091;A   
ROBECHIES;56016;P   
ROBELMONT;85024;B   
ROBERTVILLE;63080;B   
ROBORST;45065;H   
ROCHEFORT;91114;    
ROCHEFORT;91114;A   
ROCHEHAUT;84010;F   
ROCHERATH;63012;B   
ROCLENGE-SUR-GEER;62011;B   
ROCOURT + PARTIE DE VOROUX-LEZ-LIERS;62063;L   
ROESBRUGGE-HARINGE;33021;E   
ROESELARE;36015;    
ROESELARE;36015;A   
ROGNEE;93088;F   
ROISIN;53083;A   
ROKSEM;35014;C   
ROLLEGEM;34022;F   
ROLLEGEM KAPELLE;36010;B   
ROLY;93056;M   
ROMEDENNE;93056;G   
ROMEREE;93018;F   
ROMERSHOVEN;73032;C   
ROMSEE;62038;D   
RONGY;57093;B   
RONQUIERES;55004;C   
RONSE;45041;    
RONSE;45041;A   
RONSELE;44080;B   
ROOSBEEK;24016;C   
ROOSDAAL;23097;    
ROOSDAAL*+DEEL VAN GOOIK EN SINT-KWINTENS-LENNIK;23097;A   
ROSEE;93022;E   
ROSELIES;52074;D   
ROSIERES;25091;C   
ROSMEER;73006;J   
ROSOUX-CRENWICK;64008;B   
ROSSIGNOL;85039;D   
ROTEM;72041;B   
ROTHEUX-RIMIERE;62121;C   
ROTSELAAR;24094;    
ROTSELAAR;24094;A   
ROUCOURT;57064;J   
ROUVEROY;56085;G   
ROUVREUX*;62100;C   
ROUVROY;85047;    
ROUX*;52011;M   
ROUX-MIROIR;25043;D   
ROY;83034;G   
ROZEBEKE;45065;J   
RUDDERVOORDE;31022;C   
RUETTE;85045;E   
RUIEN + DEEL VAN AVELGEM EN WAARMAARDE;45060;A   
RUISBROEK;23077;E   
RUISBROEK* + DEEL WILLEBROEK;12030;B   
RUISELEDE;37012;    
RUISELEDE;37012;A   
RUKKELINGEN-LOON;73022;M   
RULLES + PARTIE VILLERS-SUR-SEMOIS;85046;E   
RUMBEKE;36015;C   
RUMES;57072;    
RUMES;57072;A   
RUMILLIES - MOURCOURT;57081;W   
RUMMEN;24028;B   
RUMST;11037;    
RUMST;11037;A   
RUNKELEN;71053;F   
RUPELMONDE;46013;C   
RUSSEIGNIES;57095;B   
RUTTEN;73083;L   
'S GRAVENVOEREN;73109;A   
'S GRAVENWEZEL;11039;B   
'S HERENELDEREN*;73083;S   
SAINT - SAUVEUR;51065;P   
SAINT-AMAND;52021;F   
SAINT-ANDRE*;62027;H   
SAINT-AUBIN;93022;G   
SAINT-DENIS;92141;D   
SAINTE-CECILE;85011;F   
SAINTE-MARIE;85009;E   
SAINTE-MARIE-CHEVIGNY;84077;F   
SAINTE-ODE;82038;    
SAINTES*;25105;D   
SAINT-GEORGES-SUR-MEUSE;64065;    
SAINT-GEORGES-SUR-MEUSE+PARTIE DE HERMALLE-SOUS-HUY;64065;A   
SAINT-GERARD;92087;B   
SAINT-GERMAIN;92035;P   
SAINT-GERY;25117;C   
SAINT-GHISLAIN;53070;    
SAINT-GHISLAIN;53070;A   
SAINT-GILLES;21013;    
SAINT-GILLES;21013;A   
SAINT-HUBERT;84059;    
SAINT-HUBERT;84059;A   
SAINT-JEAN-GEEST;25048;J   
SAINT-JOSSE-TEN-NODE;21014;    
SAINT-JOSSE-TEN-NODE;21014;A   
SAINT-LEGER;57027;C   
SAINT-LEGER;85034;    
SAINT-LEGER;85034;A   
SAINT-MARC;92094;M   
SAINT-MARTIN;92140;C   
SAINT-MAUR - ERE;57081;L   
SAINT-MEDARD;84029;B   
SAINT-NICOLAS;62093;    
SAINT-NICOLAS*;62093;A   
SAINT-PIERRE;84077;C   
SAINT-REMY;56016;K   
SAINT-REMY;62119;F   
SAINT-REMY-GEEST;25048;G   
SAINT-SERVAIS;92094;J   
SAINT-SEVERIN;61043;D   
SAINT-SYMPHORIEN;53053;J   
SAINT-VAAST;55022;D   
SAINT-VINCENT;85039;C   
SAIVE + PARTIE DE WANDRE;62119;D   
SALLES;56016;M   
SAMART;93056;P   
SAMBREVILLE;92137;    
SAMREE;83031;B   
SANKT-VITH;63067;    
SANKT-VITH;63067;A   
SARS-LA-BRUYERE;53028;E   
SARS-LA-BUISSIERE;56044;B   
SART*;63038;B   
SART-BERNARD;92006;D   
SART-CUSTINNE;91054;K   
SART-DAMES-AVELINES;25107;E   
SART-EN-FAGNE;93056;J   
SART-EUSTACHE;92048;C   
SART-SAINT-LAURENT;92048;F   
SAUTIN + PARTIE SOLRE-ST-GERY;56088;C   
SAUTOUR;93056;N   
SCHAARBEEK;21015;    
SCHAARBEEK;21015;A   
SCHAERBEEK;21015;    
SCHAERBEEK;21015;A   
SCHAFFEN;24020;E   
SCHALKHOVEN;73032;E   
SCHALTIN;91059;G   
SCHELDE;11002;M   
SCHELDERODE*+DEEL VAN DE PINTE;44043;D   
SCHELDEWINDEKE;44052;C   
SCHELLE;11038;    
SCHELLE;11038;A   
SCHELLEBELLE;42026;C   
SCHENDELBEKE;41018;G   
SCHEPDAAL;23016;E   
SCHERPENHEUVEL;24134;A   
SCHERPENHEUVEL-ZICHEM;24134;    
SCHILDE;11039;    
SCHILDE;11039;A   
SCHOENBERG (GEBIETSTEIL);63012;D   
SCHONBERG*;63067;C   
SCHOONAARDE;42006;H   
SCHORE;35011;E   
SCHORISSE;45064;D   
SCHOTEN;11040;    
SCHOTEN;11040;A   
SCHRIEK;12014;F   
SCHUIFERSKAPELLE;37015;B   
SCHULEN;71024;C   
SCLAYN;92003;G   
SCY;91059;D   
SEILLES;92003;K   
SELANGE;81015;B   
SELOIGNES;56051;D   
SEMMERZAKE*+DEEL EKE;44020;B   
SENEFFE;52063;    
SENEFFE;52063;A   
SENSENRUTH;84010;C   
SENY;61081;E   
SENZEILLE;93010;F   
SEPTON;83012;C   
SERAING;62096;    
SERAING*;62096;A   
SERAING-LE-CHATEAU;61063;D   
SERINCHAMPS;91030;C   
SERSKAMP;42026;B   
SERVILLE;91103;D   
SIBRET*;82036;E   
SIJSELE;31006;F   
SILENRIEUX*;93010;C   
SILLY;55039;    
SILLY;55039;A   
SINAAI*;46021;D   
SINSIN;91120;F   
SINT - MARTENS - BODEGEM;23016;F   
SINT ULRIKS - KAPELLE;23016;B   
SINT-AGATHA-BERCHEM;21003;    
SINT-AGATHA-BERCHEM;21003;A   
SINT-AGATHA-RODE;24045;D   
SINT-AMANDS;12034;    
SINT-AMANDS;12034;A   
SINT-AMANDSBERG;44021;E   
SINT-ANDRIES;31005;H   
SINT-ANTELINKS;41027;F   
SINT-BAAFS-VIJVE;37017;C   
SINT-BLASIUS-BOEKEL;45065;K   
SINT-DENIJS;34042;E   
SINT-DENIJS-BOEKEL;45065;L   
SINT-DENIJS-WESTREM - AFSNEE;44021;J   
SINT-ELOOIS-VIJVE;34040;D   
SINT-ELOOIS-WINKEL;36010;C   
SINT-GENESIUS-RODE;23101;    
SINT-GENESIUS-RODE;23101;A   
SINT-GILLIS;21013;    
SINT-GILLIS;21013;A   
SINT-GILLIS-BIJ-DENDERMONDE;42006;C   
SINT-GILLIS-WAAS;46020;    
SINT-GILLIS-WAAS*+DEEL KEMZEKE;46020;A   
SINT-GORIKS-OUDENHOVE;41081;G   
SINT-HUIBRECHTS-HERN + DEEL VAN TONGEREN;73032;D   
SINT-HUIBRECHTS-LILLE;72025;B   
SINT-JACOBS-KAPELLE;32003;J   
SINT-JAN;33011;C   
SINT-JAN-IN-EREMO;43014;C   
SINT-JANS-MOLENBEEK;21012;    
SINT-JANS-MOLENBEEK;21012;A   
SINT-JOB-IN-'T GOOR;11009;C   
SINT-JOOST-TEN-NODE;21014;    
SINT-JOOST-TEN-NODE;21014;A   
SINT-JORIS;31003;C   
SINT-JORIS;38016;B   
SINT-JORIS-WEERT;24086;E   
SINT-JORIS-WINGE;24135;C   
SINT-KATELIJNE-WAVER;12035;    
SINT-KATELIJNE-WAVER*;12035;A   
SINT-KATHERINA-LOMBEEK;23086;C   
SINT-KORNELIS-HOREBEKE;45062;B   
SINT-KRUIS*;31005;E   
SINT-LAMBRECHTS-HERK;71022;C   
SINT-LAMBRECHTS-WOLUWE;21018;    
SINT-LAMBRECHTS-WOLUWE;21018;A   
SINT-LAUREINS;43014;    
SINT-LAUREINS;43014;A   
SINT-LAUREINS-BERCHEM;23077;C   
SINT-LENAARTS;11009;B   
SINT-LIEVENS-ESSE;41027;H   
SINT-LIEVENS-HOUTEM;41063;    
SINT-LIEVENS-HOUTEM + DEEL OOMBERGEN;41063;A   
SINT-MARGRIETE;43014;B   
SINT-MARGRIETE-HOUTEM* + DEEL VAN BUNSBEEK;24107;F   
SINT-MARIA-HOREBEKE;45062;A   
SINT-MARIA-LATEM;45065;C   
SINT-MARIA-LIERDE;45063;A   
SINT-MARIA-OUDENHOVE*;41081;K   
SINT-MARTENS-LATEM;44064;    
SINT-MARTENS-LATEM;44064;A   
SINT-MARTENS-LEERNE;44011;L   
SINT-MARTENS-LENNIK;23104;B   
SINT-MARTENS-LIERDE;45063;D   
SINT-MARTENS-VOEREN;73109;B   
SINT-MICHIELS;31005;G   
SINT-NIKLAAS;46021;    
