name,zipCode,nisCode,province
Bocholt,3950,72003,Limburg
Bodegnée,4537,61063,Luik
Boechout,2530,11004,Antwerpen
Boekhout,3890,71017,Limburg
Boekhoute,9961,43002,Oost-Vlaanderen
Boezinge,8904,33011,West-Vlaanderen
Bogaarden,1670,23064,Vlaams-Brabant
Bohan,5550,91143,Namen
Boignée,5140,92114,Namen
Boirs,4690,62011,Luik
Bois-D'Haine,7170,52043,Henegouwen
Bois-De-Lessines,7866,55023,Henegouwen
Bois-De-Villers,5170,92101,Namen
Bois-Et-Borsu,4560,61012,Luik
Bolinne,5310,92035,Namen
Bolland,4653,63035,Luik
Bomal,1367,83012,Waals-Brabant
Bomal-Sur-Ourthe,6941,83012,Luxemburg
Bombaye,4607,62027,Luik
Bommershoven,3840,73009,Limburg
Bon-Secours,7603,57064,Henegouwen
Boncelles,4100,62096,Luik
Boneffe,5310,92035,Namen
Bonheiden,2820,12005,Antwerpen
Boninne,5021,92094,Namen
Bonlez,1325,25018,Waals-Brabant
Bonnert,6700,81001,Luxemburg
Bonneville,5300,92003,Namen
Bonsin,5377,91120,Namen
Booischot,2221,12014,Antwerpen
Booitshoeke,8630,38025,West-Vlaanderen
Boom,2850,11005,Antwerpen
Boorsem,3631,73107,Limburg
Boortmeerbeek,3190,24014,Vlaams-Brabant
Borchtlombeek,1761,23097,Vlaams-Brabant
Borgerhout,2140,11002,Antwerpen
Borgloon,3840,73009,Limburg
Borlez,4317,64076,Luik
Borlo,3891,71017,Limburg
Borlon,6941,83012,Luxemburg
Bornem,2880,12007,Antwerpen
Bornival,1404,25072,Waals-Brabant
Borsbeek,2150,11007,Antwerpen
Borsbeke,9552,41027,Oost-Vlaanderen
Bossière,5032,92142,Namen
Bossuit,8583,34003,West-Vlaanderen
Bossut-Gottechain,1390,25037,Waals-Brabant
Bost,3300,24107,Vlaams-Brabant
Bothey,5032,92142,Namen
Bottelare,9820,44043,Oost-Vlaanderen
Bouffioulx,6200,52012,Henegouwen
Bouge,5004,92094,Namen
Bougnies,7040,53084,Henegouwen
Bouillon,6830,84010,Luxemburg
Bourlers,6464,56016,Henegouwen
Bourseigne-Neuve,5575,91054,Namen
Bourseigne-Vieille,5575,91054,Namen
Boussoit,7110,55022,Henegouwen
Boussu,7300,53014,Henegouwen
Boussu-En-Fagne,5660,93014,Namen
Boussu-Lez-Walcourt,6440,56029,Henegouwen
Bousval,1470,25031,Waals-Brabant
Boutersem,3370,24016,Vlaams-Brabant
Bouvignes-Sur-Meuse,5500,91034,Namen
Bouvignies,7803,51004,Henegouwen
Bouwel,2288,13010,Antwerpen
Bovekerke,8680,32010,West-Vlaanderen
Bovelingen,3870,73022,Limburg
Bovenistier,4300,64074,Luik
Bovesse,5081,92141,Namen
Bovigny,6671,82037,Luxemburg
Boëlhe,4250,64029,Luik
Bra,4990,63045,Luik
Braffe,7604,57064,Henegouwen
Braibant,5590,91030,Namen
Braine-l'alleud,1420,25014,Waals-Brabant
Braine-le-château,1440,25015,Waals-Brabant
Braine-le-comte,7090,55004,Henegouwen
Braives,4260,64015,Luik
Brakel,9660,45059,Oost-Vlaanderen
Branchon,5310,92035,Namen
Bras,6800,84077,Luxemburg
